call_metric,geographic_zone,activity_category,high_call_threshold,category_hours,environmental_variable,units,n_available,median,q25,q75
Blue A/B,Southern California,low_call,8,601,npp_lag_60d,mg_C_m-2_d-1,136,668.6594238,485.27323917499996,822.557373
Blue A/B,Southern California,low_call,8,601,npp_lag_90d,mg_C_m-2_d-1,171,714.4690552,623.17086795,973.66748045
Blue A/B,Southern California,low_call,8,601,npp_lag_120d,mg_C_m-2_d-1,38,704.9187622,558.7621612749999,885.040161125
Blue A/B,Southern California,no_call,8,415,gebco_bathymetry_m,m,415,-3730,-4160,-3544.5
Blue A/B,Southern California,no_call,8,415,sst_c,deg_C,415,15.671,15.176,16.168
Blue A/B,Southern California,no_call,8,415,chlorophyll_a,mg_m-3,169,0.34409371,0.273066491,0.432017177
Blue A/B,Southern California,no_call,8,415,phytoplankton_carbon,mg_m-3,169,19.29904938,17.42320824,21.15146637
Blue A/B,Southern California,no_call,8,415,poc,mg_m-3,169,93.19970703,75.89990234,105.6000977
Blue A/B,Southern California,no_call,8,415,npp_concurrent,mg_C_m-2_d-1,169,491.0799561,452.1691284,574.2073975
Blue A/B,Southern California,no_call,8,415,npp_lag_30d,mg_C_m-2_d-1,169,598.1698608,496.3655396,682.0928345
Blue A/B,Southern California,no_call,8,415,npp_lag_60d,mg_C_m-2_d-1,94,728.0098571999999,528.508796675,822.557373
Blue A/B,Southern California,no_call,8,415,npp_lag_90d,mg_C_m-2_d-1,139,678.7924194,589.1018066,949.58093265
Blue A/B,Southern California,no_call,8,415,npp_lag_120d,mg_C_m-2_d-1,52,745.6107178,641.7391357,764.8795166
Fin 20 Hz,Northern California,high_call,8,165,gebco_bathymetry_m,m,165,-2427,-3123,-1087
Fin 20 Hz,Northern California,high_call,8,165,sst_c,deg_C,165,14.815,13.327,15.989
Fin 20 Hz,Northern California,high_call,8,165,chlorophyll_a,mg_m-3,115,0.748835742,0.658201158,0.852383196
Fin 20 Hz,Northern California,high_call,8,165,phytoplankton_carbon,mg_m-3,115,40.12385941,34.52432251,45.85004425
Fin 20 Hz,Northern California,high_call,8,165,poc,mg_m-3,115,156.6000977,142.7998047,171
Fin 20 Hz,Northern California,high_call,8,165,npp_concurrent,mg_C_m-2_d-1,117,803.5668335,739.9211426,866.2015381
Fin 20 Hz,Northern California,high_call,8,165,npp_lag_30d,mg_C_m-2_d-1,58,678.1729126,676.0142212,783.5285034
Fin 20 Hz,Northern California,high_call,8,165,npp_lag_60d,mg_C_m-2_d-1,18,918.6525879,781.379959075,981.3381958
