"","drift","id","species","numClicks","keep"
"1724","CalCurCEAS_022","7518.241104231203.wav","",8357,FALSE
"1725","CalCurCEAS_022","7518.241104231803.wav","",9226,FALSE
"1726","CalCurCEAS_022","7518.241104232403.wav","",9374,FALSE
"1727","CalCurCEAS_022","7518.241104233003.wav","",9381,FALSE
"1728","CalCurCEAS_022","7518.241104233603.wav","",9477,FALSE
"1729","CalCurCEAS_022","7518.241104234203.wav","",7990,FALSE
"1730","CalCurCEAS_022","7518.241104234803.wav","",6274,FALSE
"1731","CalCurCEAS_022","7518.241104235403.wav","",5348,FALSE
"1732","CalCurCEAS_022","7518.241105000003.wav","",6382,FALSE
"1733","CalCurCEAS_022","7518.241105000603.wav","",7508,FALSE
"1734","CalCurCEAS_022","7518.241105001203.wav","",7465,FALSE
"1735","CalCurCEAS_022","7518.241105001803.wav","",7092,FALSE
"1736","CalCurCEAS_022","7518.241105002403.wav","",6806,FALSE
"1737","CalCurCEAS_022","7518.241105003003.wav","",4973,FALSE
"1738","CalCurCEAS_022","7518.241105003603.wav","",3570,FALSE
"1739","CalCurCEAS_022","7518.241105004203.wav","",3232,FALSE
"1740","CalCurCEAS_022","7518.241105004803.wav","",3948,FALSE
"1741","CalCurCEAS_022","7518.241105005403.wav","",5113,FALSE
"1742","CalCurCEAS_022","7518.241105010003.wav","",6078,FALSE
"1743","CalCurCEAS_022","7518.241105010603.wav","",6224,FALSE
"1744","CalCurCEAS_022","7518.241105011203.wav","",6997,FALSE
"1745","CalCurCEAS_022","7518.241105011803.wav","",5930,FALSE
"1746","CalCurCEAS_022","7518.241105012403.wav","",5208,FALSE
"1747","CalCurCEAS_022","7518.241105013003.wav","",3516,FALSE
"1748","CalCurCEAS_022","7518.241105013603.wav","",2606,FALSE
"1749","CalCurCEAS_022","7518.241105014203.wav","",3144,FALSE
"1750","CalCurCEAS_022","7518.241105014803.wav","",4322,FALSE
"1751","CalCurCEAS_022","7518.241105015403.wav","",2926,FALSE
"1752","CalCurCEAS_022","7518.241105020003.wav","",1950,FALSE
"1753","CalCurCEAS_022","7518.241105020603.wav","",2055,FALSE
"1754","CalCurCEAS_022","7518.241105021203.wav","",2346,FALSE
"1755","CalCurCEAS_022","7518.241105021803.wav","",3298,FALSE
"1756","CalCurCEAS_022","7518.241105022403.wav","",2401,FALSE
"1757","CalCurCEAS_022","7518.241105023003.wav","",3461,FALSE
"1758","CalCurCEAS_022","7518.241105023603.wav","",2503,FALSE
"1759","CalCurCEAS_022","7518.241105024203.wav","",3141,FALSE
"1760","CalCurCEAS_022","7518.241105024803.wav","",3559,FALSE
"1761","CalCurCEAS_022","7518.241105025403.wav","",3080,FALSE
"1762","CalCurCEAS_022","7518.241105030003.wav","",2282,FALSE
"1763","CalCurCEAS_022","7518.241105030603.wav","",1241,FALSE
"1764","CalCurCEAS_022","7518.241105031203.wav","",224,FALSE
"1767","CalCurCEAS_022","7518.241105033003.wav","",411,FALSE
"1768","CalCurCEAS_022","7518.241105033603.wav","",261,FALSE
"1773","CalCurCEAS_022","7518.241105040603.wav","",272,FALSE
"1774","CalCurCEAS_022","7518.241105041203.wav","",305,FALSE
"1775","CalCurCEAS_022","7518.241105041803.wav","",799,FALSE
"1777","CalCurCEAS_022","7518.241105043003.wav","",260,FALSE
"1779","CalCurCEAS_022","7518.241105044203.wav","",731,FALSE
"1780","CalCurCEAS_022","7518.241105044803.wav","",1034,FALSE
"1781","CalCurCEAS_022","7518.241105045403.wav","",750,FALSE
"1782","CalCurCEAS_022","7518.241105050003.wav","",577,FALSE
"1785","CalCurCEAS_022","7518.241105051803.wav","",319,FALSE
"1786","CalCurCEAS_022","7518.241105052403.wav","",200,FALSE
"1787","CalCurCEAS_022","7518.241105053003.wav","",468,FALSE
"1790","CalCurCEAS_022","7518.241105054803.wav","",251,FALSE
"1793","CalCurCEAS_022","7518.241105060603.wav","",589,FALSE
"1794","CalCurCEAS_022","7518.241105061203.wav","",1910,FALSE
"1795","CalCurCEAS_022","7518.241105061803.wav","",3429,FALSE
"1796","CalCurCEAS_022","7518.241105062403.wav","",3578,FALSE
"1797","CalCurCEAS_022","7518.241105063003.wav","",5215,FALSE
"1798","CalCurCEAS_022","7518.241105063603.wav","",5426,FALSE
"1799","CalCurCEAS_022","7518.241105064203.wav","",5175,FALSE
"1800","CalCurCEAS_022","7518.241105064803.wav","",6539,FALSE
"1801","CalCurCEAS_022","7518.241105065403.wav","",6250,FALSE
"1802","CalCurCEAS_022","7518.241105070003.wav","",6727,FALSE
"1803","CalCurCEAS_022","7518.241105070603.wav","",6392,FALSE
"1804","CalCurCEAS_022","7518.241105071203.wav","",5703,FALSE
"1805","CalCurCEAS_022","7518.241105071803.wav","",6622,FALSE
"1806","CalCurCEAS_022","7518.241105072403.wav","",8262,FALSE
"1807","CalCurCEAS_022","7518.241105073003.wav","",7545,FALSE
"1808","CalCurCEAS_022","7518.241105073603.wav","",7780,FALSE
"1809","CalCurCEAS_022","7518.241105074203.wav","",7564,FALSE
"1810","CalCurCEAS_022","7518.241105074803.wav","",6469,FALSE
"1811","CalCurCEAS_022","7518.241105075403.wav","",5639,FALSE
"1812","CalCurCEAS_022","7518.241105080003.wav","",6418,FALSE
"1813","CalCurCEAS_022","7518.241105080603.wav","",5720,FALSE
"1814","CalCurCEAS_022","7518.241105081203.wav","",5094,FALSE
"1815","CalCurCEAS_022","7518.241105081803.wav","",4350,FALSE
"1816","CalCurCEAS_022","7518.241105082403.wav","",2123,FALSE
"1817","CalCurCEAS_022","7518.241105083003.wav","",5378,FALSE
"1818","CalCurCEAS_022","7518.241105083603.wav","",5555,FALSE
"1819","CalCurCEAS_022","7518.241105084203.wav","",7793,FALSE
"1820","CalCurCEAS_022","7518.241105084803.wav","",4484,FALSE
"1821","CalCurCEAS_022","7518.241105085403.wav","",3554,FALSE
"1822","CalCurCEAS_022","7518.241105090003.wav","",8905,FALSE
"1823","CalCurCEAS_022","7518.241105090603.wav","",9837,FALSE
"1824","CalCurCEAS_022","7518.241105091203.wav","",9430,FALSE
"1825","CalCurCEAS_022","7518.241105091803.wav","",9569,FALSE
"1826","CalCurCEAS_022","7518.241105092403.wav","",9394,FALSE
"1827","CalCurCEAS_022","7518.241105093003.wav","",6318,FALSE
"1828","CalCurCEAS_022","7518.241105093603.wav","",9254,FALSE
"1829","CalCurCEAS_022","7518.241105094203.wav","",5910,FALSE
"1830","CalCurCEAS_022","7518.241105094803.wav","",4824,FALSE
"1831","CalCurCEAS_022","7518.241105095403.wav","",3185,FALSE
"1832","CalCurCEAS_022","7518.241105100003.wav","",4424,FALSE
"1833","CalCurCEAS_022","7518.241105100603.wav","",5943,FALSE
"1834","CalCurCEAS_022","7518.241105101203.wav","",4759,FALSE
"1835","CalCurCEAS_022","7518.241105101803.wav","",2839,FALSE
"1836","CalCurCEAS_022","7518.241105102403.wav","",2689,FALSE
"1837","CalCurCEAS_022","7518.241105103003.wav","",2655,FALSE
"1838","CalCurCEAS_022","7518.241105103603.wav","",2251,FALSE
"1839","CalCurCEAS_022","7518.241105104203.wav","",1923,FALSE
"1840","CalCurCEAS_022","7518.241105104803.wav","",1715,FALSE
"1841","CalCurCEAS_022","7518.241105105403.wav","",1281,FALSE
"1842","CalCurCEAS_022","7518.241105110003.wav","",796,FALSE
"1843","CalCurCEAS_022","7518.241105110603.wav","",541,FALSE
"1844","CalCurCEAS_022","7518.241105111203.wav","",538,FALSE
"1845","CalCurCEAS_022","7518.241105111803.wav","",457,FALSE
"1846","CalCurCEAS_022","7518.241105112403.wav","",407,FALSE
"1847","CalCurCEAS_022","7518.241105113003.wav","",264,FALSE
